楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,电梯数,单元数,楼栋数,楼盘地址,电梯总数,单元总数,楼栋总数,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价
4582,保利花园一期,保利花园一期,保利花园一期,普通住宅,39,23,8,聚龙路1147号,39,23,8,武侯区,南门,三环外,1173,2011,30,2.8,20240
,,,保利花园一期,,39,23,8,,,,,,,,,,,,
,,,保利花园一期,,39,23,8,,,,,,,,,,,,
4585,保利金香槟,保利金香槟,保利金香槟,高级住宅,36,18,8,蜀鑫路105号,36,18,8,青羊区,西门,三环外,1404,2012,33,2,20000
,,,保利金香槟,,36,18,8,,,,,,,,,,,,
,,,保利金香槟,,36,18,8,,,,,,,,,,,,
6440,保利锦湖林语,保利锦湖林语,,高级住宅,,,,石羊场路99号,0,0,0,武侯区,,,1470,2002,0,0,28142
5471,保利林语溪,保利林语溪,保利林语溪,高级住宅,7,7,7,华实路11号,7,7,7,成华区,东方,,100,2016,35,1.6,10500
6266,保利玫瑰花语,保利玫瑰花语,保利玫瑰花语,高级住宅,44,22,12,大面街道龙城大道468号,44,22,12,龙泉驿区,,,6040,2004,0,0,16516
6503,,保利狮子湖香樟郡,,高级住宅,,,,香岸北路168号,0,0,0,新都区,,,2455,2001,0,0,13929
4584,保利梧桐语,保利梧桐语,保利梧桐语,高级住宅,32,16,10,黄金东二路399号,32,16,10,金牛区,西门,三环外,1444,2015,34,2.3,20400
,,,保利梧桐语,,32,16,10,,,,,,,,,,,,
,,,保利梧桐语,,32,16,10,,,,,,,,,,,,
4579,保利香槟光华,保利香槟光华,保利香槟光华,高级住宅,38,19,11,光华大道一段,38,19,11,青羊区,西门,三环外,1500,2014,33,2.3,20000
,,,保利香槟光华,,38,19,11,,,,,,,,,,,,
,,,保利香槟光华,,38,19,11,,,,,,,,,,,,
5133,保利香槟国际住宅,保利香槟国际,保利香槟国际,高级住宅,45,15,8,天目路77号,54,27,11,高新区,东方,,1544,2013,45,3,28000
,,,保利香槟国际,,45,15,8,,,,,,,,,,,,
,,,保利香槟国际,,54,27,11,,,,,,,,,,,,
6137,保利香槟国际LOFT写字楼,保利香槟国际LOFT,保利香槟国际LOFT,写字楼,45,15,8,天目路77号,45,15,8,高新西区,,,9387,2002,0,0,12207
6138,保利香槟国际住宅,保利香槟国际住宅,保利香槟国际住宅,高级住宅,54,27,11,天目路77号,54,27,11,高新西区,,,3098,2004,0,0,19277
1713,保利心语二期LOFT住宅,保利心语二期（LOFT）,保利心语二期（LOFT）,高级住宅,4,2,2,富华南路1606号,4,2,2,高新区,南门,三环外,441,2014,40,2,26400
4587,保利心语二期,保利心语二期（住宅）,保利心语二期（住宅）,高级住宅,24,12,6,富华南路1606号,28,14,8,高新区,南门,三环外,441,2014,33,2,22000
,,,保利心语二期,,24,12,6,,,,,,,,,,,,
,,,保利心语二期,,28,14,8,,,,,,,,,,,,
